year,linear,ridge,lasso,forest
1998,10.71391133,10.71382758,10.61638164,10.1167005
1999,15.88293204,15.88292157,15.79636045,17.57348841
2000,12.76589256,12.76589604,12.75397071,12.41231424
2001,11.79773699,11.79775842,11.8574369,12.29962954
2002,10.73163383,10.73162787,10.69783191,10.96239364
2003,12.02875723,12.02875655,12.0152683,12.28037245
2004,14.05098961,14.05096191,13.94172689,15.35591186
2005,18.71364556,18.71365443,18.74947727,20.33142554
2006,20.58014379,20.58014705,20.59468374,22.27982193
average,14.14062699,14.14061682,14.11368198,14.84578423
