filename,<SEC-DOCUMENT>,<SEC-HEADER>,ACCESSION NUMBER:,PUBLIC DOCUMENT COUNT:,CONFORMED PERIOD OF REPORT:,FILED AS OF DATE:,COMPANY CONFORMED NAME:,CENTRAL INDEX KEY:,STANDARD INDUSTRIAL CLASSIFICATION:,IRS NUMBER:,STATE OF INCORPORATION:,FISCAL YEAR END:,SEC FILE NUMBER:,FILM NUMBER:,CITY:,STATE:,Total assets,Total shareholders' equity,Total stockholders' equity,Total liabilities,Provision for income taxes,Long-term debt    ,Operating income,Gross profit,Net income,<TOTAL-COSTS>,<TOTAL-REVENUES>,<RECEIVABLES>,<INTEREST-EXPENSE>,<CURRENT-ASSETS>,<CURRENT-LIABILITIES>,<DEPRECIATION>,Cash
000794107-10-K-19960401.txt,19960402,19960402,0000927550-96-000030,6,19951231,19960401,ACC CORP,0000783233,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813],161175232,DE,1231,000-14567,96543344,NEW YORK,NY,"123,984             $  84,448","26,407                     19,086",,"123,984 ",1.64 ,"2,919 ",,"14,963       15,319      17,806        25,929       11,970        9,933       10,660       14,443","1,654)    $ (2,250)    $(1,849)      $    395     $    346    $ (1,024)    $ (8,456)    $ (2,195)","73,807","188,866","41,063","4,933","45,726","56,074","26,932","518            $    1,021"
00087B101-10-K-19960529.txt,19960530,19960530,0000912057-96-011031,5,19960229,19960529,ACR GROUP INC,0000711307,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES [5070],742008473,TX,0228,000-12490,96573929,HOUSTON,TX,"22,010,286          $17,131,744","5,666,212            5,482,446",,"16,344,074 ","15,044 ","6,397,722 ","764,714           945,607            615,372","10,720,806         8,563,240          6,738,307","183,766       $   558,206        $ 1,114,068","45,779,447",0,"7,648,340","644,767","17,758,665","9,640,604","1,470,788","348,162          $   162,745"
000886309-10-K-19960105.txt,19960111,19960111,0000061478-96-000002,5,19951031,19960105,ADC TELECOMMUNICATIONS INC,0000061478,TELEPHONE & TELEGRAPH APPARATUS [3661],410743912,MN,1031,000-01424,96501260,MINNEAPOLIS,MN,,,,,,,,,,,,,,,,,"238,491      $ 49,512"
000975102-10-K-19960927.txt,19960930,19960930,0000892569-96-001941,4,19960630,19960927,ACT NETWORKS INC,0000942132,COMPUTER COMMUNICATIONS EQUIPMENT [3576],770396887,DE,0630,000-25740,96636159,CAMARILLO,CA,"2,644           3,837           6,398          42,847          93,851",,"1) .......          1,475           2,739           4,847          40,316          90,140","93,850,516 ",2 ,"147,294 ",,,,"29,456,217","28,404,454","10,148,953","1,219,392)","88,311,146","3,563,601","2,180,970","70,374,310     $ 30,546,278"
001031103-10-K-19960129.txt,19960131,19960131,0000912057-96-000946,2,19951031,19960129,AEP INDUSTRIES INC,0000785787,UNSUPPORTED PLASTICS FILM & SHEET [3081],221916107,DE,1031,000-14450,96507895,SOUTH HACKENSACK,NJ,"143,287,000     $118,496,000","16,808,000       61,789,000",,,,"92,964,000 ",,"60,373,000        54,068,000      43,839,000","13,486,000       $11,404,000      $6,880,000","182,513","243,270","27,754","3,209","50,219","35,189","52,838","329,000         $258,000"
001055102-10-K-19960326.txt,19960327,19960327,0000004977-96-000006,8,19951231,19960326,AFLAC INC,0000004977,ACCIDENT & HEALTH INSURANCE [6321],581167100,GA,1231,001-07434,96538371,COLUMBUS,GA,,"2,134,141     1,751,767",,"478,269 ",,,,,,,,,,,,,
001073105-10-K-19961223.txt,19961224,19961224,0000891618-96-003159,11,19960930,19961223,AG ASSOCIATES INC,0000942124,"SPECIAL INDUSTRY MACHINERY, NEC [3559]",94277618,CA,0930,000-25862,96684976,SAN JOSE,CA,"14,676","35,694             32,300",,,,,,"31,724             29,028             17,578","2,743           $  9,753           $  3,224","39,365","71,089","9,463",59,"36,997","10,147","4,475","1,996           $  8,258"
001303106-10-K-19960415.txt,19960416,19960416,0000950124-96-001593,4,19951231,19960415,MBF USA INC,0000837038,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047]",731326131,MD,1231,000-17458,96547310,ITASCA,IL,"26,373,204           18,493,771            17,600,575","1,319,661            3,911,116             3,742,141",,,"4,796,672) ",,,"5,684,089            7,262,623             4,697,421","4,864,404)            1,000,530           (1,410,829)","8,098","43,258","4,714",823,"16,052","13,466",229),"706,309  $    96,096"
001920107-10-K-19960229.txt,19960304,19960304,0000950109-96-001248,8,19951231,19960229,ARCO CHEMICAL CO,0000819544,INDUSTRIAL ORGANIC CHEMICALS [2860],510104393,DE,1231,001-09678,96529359,NEWTOWN SQUARE,PA,,,,,,,,,,,,,,,,,235  $  144
001930205-10-K-19961029.txt,19961030,19961030,0000950124-96-004538,9,19960731,19961029,ARI NETWORK SERVICES INC /WI,0000879796,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC. [7370]",391388360,WI,0731,000-19608,96649290,MILWAUKEE,WI,,"6,181,531     8,523,791",,,,,,,,"7,970","5,252","1,346",274,"1,864","5,276","3,689","371,705  $   235,928"
